0,tempC,tempC_Rmean=2,tempC_Rmean=3,tempC_Rmean=4,tempC_Rmean=8,tempC_Rmean=12,tempC_Rmean=24,tempC_Rmean=32,tempC_Rmean=48,tempC_Rmean=96,Expanding Mean 2 tempC,Expanding Mean 3 tempC,Expanding Mean 4 tempC,Expanding Mean 8 tempC,Expanding Mean 12 tempC,Expanding Mean 16 tempC,Expanding Mean 24 tempC,Expanding Mean 48 tempC,Expanding Mean 96 tempC
Expanding Mean 2 windspeedMiles,0.058152339090280836,0.08641693475798287,0.11033380659232436,0.13358084054174585,0.1919709090914662,0.18988374539529884,-0.14898034912394587,-0.4573982575925558,-0.5611442666965574,-0.3045154441339749,0.06098983269031705,0.0678032596791737,0.07042779184804622,0.0887607426451644,0.1074271507626429,0.11056835027548256,0.1306622750601403,0.19299669464412392,0.10015293856571444
Expanding Mean 3 windspeedMiles,0.04863759753273172,0.07777227099513702,0.10241863226021644,0.1267209216434186,0.1895481031021317,0.19238953339280448,-0.13668300087679922,-0.44751381935286666,-0.5683349870521343,-0.3053139311145752,0.05150520148070007,0.0588846449891408,0.06102583855279039,0.07991284252996174,0.09955259462726376,0.10335176873216906,0.1252429836242276,0.1931765895977948,0.10192085725986748
Expanding Mean 4 windspeedMiles,0.05491008053407298,0.08341091246305883,0.1077570942427934,0.13133935894330792,0.1913500265147792,0.19110332015916368,-0.1442223272193729,-0.4537037337394724,-0.5637846675685078,-0.30465637733991724,0.05778604328600991,0.06463737092600523,0.0673666311108793,0.08602018094615106,0.10486711355844776,0.10833109190508483,0.12898267433964994,0.1934687336392829,0.10117396678385578
Expanding Mean 8 windspeedMiles,0.02785427567230413,0.05839091799308936,0.08508301029462101,0.11112028970863297,0.18223505200805531,0.1947630632194642,-0.11221713705910236,-0.4254380664984324,-0.5796572563041057,-0.3050972257681154,0.03087605568248857,0.038195101962287176,0.04088139930485008,0.06309902155659577,0.08160378488216168,0.08892032781766195,0.11346941951748125,0.1930355759551416,0.10562309401932604
Expanding Mean 12 windspeedMiles,0.0012063350012458947,0.03363658125563372,0.06217447930839126,0.08998793943246136,0.17078964464168053,0.1956988447268218,-0.08336718523879974,-0.3984319887987455,-0.5941425904866681,-0.30833880727282503,0.004393420877431499,0.012544317930450643,0.014906539575537463,0.036539267171291814,0.062081230965686386,0.06642898040400608,0.09762910360357124,0.1924852816325071,0.1071162708962022
Expanding Mean 16 windspeedMiles,-0.02472622916641732,0.008229208800406465,0.037597926248763285,0.06678603375504343,0.15465103526376955,0.18910157538013933,-0.06370835310805834,-0.3755335556796113,-0.6025841744045647,-0.3134060981197189,-0.021576000612957245,-0.013296189116814277,-0.011128437064862363,0.013110321256154292,0.03564430973006877,0.04707108919680407,0.08078618746180624,0.1872526914426188,0.1040613237005609
Expanding Mean 24 windspeedMiles,-0.07660741002648783,-0.04169298986564736,-0.010102132945997148,0.02188329814024377,0.1267766462394635,0.18254012422386132,-0.0208924287387184,-0.32530797208945456,-0.6140530299419713,-0.3133938282439709,-0.07332186015577183,-0.06465970014376064,-0.062441397728484935,-0.03665954839391162,-0.012410105741598832,0.0018056824442747726,0.045511814373505766,0.18241236369168434,0.10508276478804547
Expanding Mean 48 windspeedMiles,-0.10578156557844087,-0.0714333885702198,-0.039973286782906535,-0.007675634335021096,0.10146810594422713,0.16610992753644194,-0.004822948725985197,-0.2965549316051986,-0.6088845786086615,-0.3187188164227417,-0.10267258267072632,-0.09394677888351886,-0.09225305530026956,-0.06569115762222744,-0.040936485393976985,-0.026300297575144918,0.024815996567394544,0.17417570784829312,0.10131890487653697
Expanding Mean 96 windspeedMiles,-0.2376636663946965,-0.21527201594734266,-0.1957964066537249,-0.17282606814937632,-0.09058926507587173,-0.028421444614812764,-0.05414845875589056,-0.219921273150176,-0.5161964652868273,-0.3675811981325923,-0.23561058550042,-0.23015389823806984,-0.2284571940148225,-0.21193744795158384,-0.1946522927940638,-0.18676695649368968,-0.1569871357874348,-0.03684642897407536,-0.085025936499283
Expanding Mean 2 precipMM,-0.04581065048242754,-0.014061626502549529,0.012690182275600127,0.043419945813381766,0.14170864907633765,0.19418712735708246,0.032244366425524376,-0.21771980057482584,-0.4222680675770452,-0.10346984666568496,-0.04293724166481725,-0.034888213551263585,-0.033240971389158026,-0.010670810898310113,0.01114369442995465,0.020801553969329648,0.04954767295451477,0.16919971070422435,0.11733349488514774
